m,d,a,psi,rho,mu,theta_H,level_sum,gdp,u_C,s_L
0.2,0.2,0.3,0.5,0.0,0.04,0.1,4,2.2944893186290116,3.248053992204954,58.68375821610786
0.2,0.2,0.3,0.5,0.0,0.04,0.25,5,2.4421226029145426,3.154004739936187,58.675245143274154
0.2,0.2,0.3,0.5,0.0,0.04,0.5,6,2.540423765627553,3.0889701127416576,58.66958257046754
0.2,0.2,0.3,0.75,0.5,0.17,0.1,1,1.892039810249413,2.94126592471202,59.14787394092612
0.2,0.2,0.3,0.75,0.5,0.17,0.25,2,1.954198064725321,2.8963572792034995,59.144314664973976
0.2,0.2,0.3,0.75,0.5,0.17,0.5,3,1.9908099790419964,2.8698756103269236,59.142219081543686
0.2,0.2,0.3,0.75,0.5,0.08,0.1,2,1.8421381787711688,3.0420985077462253,59.1507327311269
0.2,0.2,0.3,0.75,0.5,0.08,0.25,3,1.9390301858973613,2.9763739115225025,59.14518302913254
0.2,0.2,0.3,0.75,0.5,0.08,0.5,4,1.9981193339907888,2.9358094717166194,59.14180078776301
0.2,0.2,0.3,0.75,0.5,0.04,0.1,3,1.8069803827017061,3.131388168959317,59.15274758998055
0.2,0.2,0.3,0.75,0.5,0.04,0.25,4,1.9256225709040065,3.0588975187153116,59.14595071004658
0.2,0.2,0.3,0.75,0.5,0.04,0.5,5,2.003275948427752,3.010135610895033,59.14150570471017
0.2,0.2,0.3,0.75,0.25,0.17,0.1,2,2.4808763549389434,3.0049838188501496,58.59654514647579
0.2,0.2,0.3,0.75,0.25,0.17,0.25,3,2.572042836596844,2.9377322178932026,58.591285393010416
0.2,0.2,0.3,0.75,0.25,0.17,0.5,4,2.626033427542729,2.897740119098789,58.58817235204721
0.2,0.2,0.3,0.75,0.25,0.08,0.1,3,2.424260494593611,3.1407702556994836,58.59981355753582
0.2,0.2,0.3,0.75,0.25,0.08,0.25,4,2.553684279562307,3.0495083683510797,58.59234424818439
0.2,0.2,0.3,0.75,0.25,0.08,0.5,5,2.634472988704184,2.9914467519146335,58.58768586265568
0.2,0.2,0.3,0.75,0.25,0.04,0.1,4,2.3754277893527798,3.273278018419782,58.60263389424486
0.2,0.2,0.3,0.75,0.25,0.04,0.25,5,2.528345446309177,3.1750494552827693,58.593805967356374
0.2,0.2,0.3,0.75,0.25,0.04,0.5,6,2.630478715062212,3.106796335552267,58.58791610397343
0.2,0.2,0.3,0.75,0.0,0.17,0.1,3,3.070724688652282,3.072973664172796,58.04366396763449
0.2,0.2,0.3,0.75,0.0,0.17,0.25,4,3.1911709365684215,2.982315624702066,58.03666329030707
0.2,0.2,0.3,0.75,0.0,0.17,0.5,5,3.262623786707497,2.928134658692833,58.032513557383325
0.2,0.2,0.3,0.75,0.0,0.08,0.1,4,3.0038989364719937,3.2473976038576073,58.04755109479053
0.2,0.2,0.3,0.75,0.0,0.08,0.25,5,3.1650138883340784,3.1298454271246534,58.03818301650703
0.2,0.2,0.3,0.75,0.0,0.08,0.5,6,3.266685796079205,3.053694797574403,58.03227772395607
0.2,0.2,0.3,0.75,0.0,0.04,0.1,5,2.9366475458929786,3.4268108030832627,58.05146516341835
