m,d,a,psi,rho,mu,theta_H,level_sum,gdp,u_C,s_L
0.2,0.2,0.8,0.5,0.25,0.04,0.1,5,3.006238722706267,3.284687092171481,59.25098514343059
0.2,0.2,0.8,0.5,0.25,0.04,0.25,6,3.1589234716541625,3.1865764861426533,59.242361804083146
0.2,0.2,0.8,0.5,0.25,0.04,0.5,7,3.2615850713076044,3.1181210901902787,59.2365698242483
0.2,0.2,0.8,0.5,0.0,0.17,0.1,4,3.520470021398525,3.0583513520287156,58.87663033183039
0.2,0.2,0.8,0.5,0.0,0.17,0.25,5,3.6330067654004594,2.9743153169102405,58.870246866323086
0.2,0.2,0.8,0.5,0.0,0.17,0.5,6,3.7009528511103396,2.9232266369004254,58.86639561015387
0.2,0.2,0.8,0.5,0.0,0.08,0.1,5,3.4531388788261896,3.2223545114888874,58.88045242697358
0.2,0.2,0.8,0.5,0.0,0.08,0.25,6,3.605075304931238,3.1129856661781172,58.87183067887094
0.2,0.2,0.8,0.5,0.0,0.08,0.5,7,3.701562371730227,3.041879342450589,58.8663610716692
0.2,0.2,0.8,0.5,0.0,0.04,0.1,6,3.3902765092796994,3.385166157020593,58.88402277448049
0.2,0.2,0.8,0.5,0.0,0.04,0.25,7,3.5641287505049135,3.270506990564236,58.8741531549147
0.2,0.2,0.8,0.5,0.0,0.04,0.5,8,3.6815142643461085,3.189555483589459,58.86749718892846
0.2,0.2,0.8,0.75,0.5,0.17,0.1,3,2.867096007905423,2.9721471205547267,59.48616146431118
0.2,0.2,0.8,0.75,0.5,0.17,0.25,4,2.9427615859147327,2.9171881309721726,59.481905574651016
0.2,0.2,0.8,0.75,0.5,0.17,0.5,5,2.988078821048301,2.8841645070665725,59.479357942967056
0.2,0.2,0.8,0.75,0.5,0.08,0.1,4,2.8120146740433727,3.088828472945736,59.489261259549565
0.2,0.2,0.8,0.75,0.5,0.08,0.25,5,2.92378207915438,3.0120080115773824,59.482972844885516
0.2,0.2,0.8,0.75,0.5,0.08,0.5,6,2.9932274346559318,2.9635404773010876,59.479068560431855
0.2,0.2,0.8,0.75,0.5,0.04,0.1,5,2.76992279871906,3.1956663721631,59.49163101069856
0.2,0.2,0.8,0.75,0.5,0.04,0.25,6,2.9036260180456575,3.1123165005375175,59.48410646075046
0.2,0.2,0.8,0.75,0.5,0.04,0.5,7,2.9925140431181996,3.055144901674626,59.47910865651639
0.2,0.2,0.8,0.75,0.25,0.17,0.1,4,3.469221067664785,3.0374689363703147,58.93459562207829
0.2,0.2,0.8,0.75,0.25,0.17,0.25,5,3.574035173718193,2.9598663696554337,58.928655461975474
0.2,0.2,0.8,0.75,0.25,0.17,0.5,6,3.6368524949849768,2.91308546654362,58.92509786670159
0.2,0.2,0.8,0.75,0.25,0.08,0.1,5,3.406109801693158,3.1905726485725614,58.938174833330756
0.2,0.2,0.8,0.75,0.25,0.08,0.25,6,3.5501916804409728,3.0880151661197726,58.93000629826548
0.2,0.2,0.8,0.75,0.25,0.08,0.5,7,3.6411465847201008,3.0218434796943376,58.92485474278312
0.2,0.2,0.8,0.75,0.25,0.04,0.1,6,3.3485117881009607,3.3421114943366663,58.94144300764738
0.2,0.2,0.8,0.75,0.25,0.04,0.25,7,3.515453270645197,3.2334247947047445,58.93197485561769
